timestamp,device_id,latitude,longitude,temperature,humidity,smoke_level,co2_ppm,wind_speed,wind_direction,soil_moisture,light_intensity,air_pressure,fire_risk_label
2024-05-28T08:00:00Z,ESP32_001,-19.9167,-43.9345,22.5,65.2,0.1,410,2.3,180,45.2,850,1013.25,0
2024-05-28T08:15:00Z,ESP32_001,-19.9167,-43.9345,23.1,63.8,0.2,415,2.8,185,44.8,920,1013.20,0
2024-05-28T08:30:00Z,ESP32_001,-19.9167,-43.9345,24.2,61.4,0.3,420,3.2,190,44.1,1020,1013.15,0
2024-05-28T12:00:00Z,ESP32_002,-19.8167,-43.8345,31.5,42.1,2.5,485,8.5,220,28.3,1850,1012.80,1
2024-05-28T12:15:00Z,ESP32_002,-19.8167,-43.8345,33.2,38.9,4.2,520,12.1,235,25.7,1920,1012.75,1
2024-05-28T14:30:00Z,ESP32_003,-19.7167,-43.7345,28.8,55.3,0.8,445,4.2,200,35.6,1650,1012.95,0
2024-05-28T15:45:00Z,ESP32_004,-19.6167,-43.6345,35.8,32.1,6.8,580,15.2,260,18.9,2100,1011.90,1
2024-05-28T16:00:00Z,ESP32_004,-19.6167,-43.6345,37.2,29.4,8.1,615,18.7,275,16.2,2180,1011.85,1
2024-05-28T18:30:00Z,ESP32_005,-19.5167,-43.5345,26.4,58.7,0.4,425,3.8,165,38.4,1200,1013.10,0
2024-05-28T20:00:00Z,ESP32_001,-19.9167,-43.9345,21.8,68.9,0.1,395,1.5,155,47.8,450,1013.45,0
